asset_category,purchase_year,lifecycle_years,purchase_cost,quantity
computers,2017,5,72000,35
computers,2018,5,75000,28
computers,2019,5,75000,30
computers,2020,5,78000,25
computers,2021,5,82000,40
computers,2022,5,85000,20
computers,2023,5,88000,15
laptops,2018,4,95000,20
laptops,2019,4,98000,18
laptops,2020,4,102000,22
laptops,2021,4,108000,30
laptops,2022,4,112000,25
laptops,2023,4,118000,12
printers,2017,6,42000,18
printers,2018,6,45000,15
printers,2019,6,45000,15
printers,2020,6,47000,10
printers,2021,6,50000,12
printers,2022,6,52000,8
routers,2019,4,22000,25
routers,2020,4,25000,20
routers,2021,4,26000,18
routers,2022,4,28000,15
routers,2023,4,30000,10
projectors,2017,7,85000,14
projectors,2018,7,88000,10
projectors,2019,7,90000,12
projectors,2020,7,92000,8
projectors,2021,7,95000,10
projectors,2022,7,98000,6
servers,2016,8,140000,8
servers,2017,8,145000,6
servers,2018,8,150000,6
servers,2019,8,155000,4
servers,2020,8,160000,5
servers,2021,8,168000,3
scanners,2018,5,35000,12
scanners,2019,5,36000,10
scanners,2020,5,38000,8
scanners,2021,5,40000,6
scanners,2022,5,42000,5
switches,2019,5,55000,16
switches,2020,5,58000,12
switches,2021,5,60000,10
switches,2022,5,62000,8
ups,2018,4,28000,20
ups,2019,4,30000,18
ups,2020,4,32000,15
ups,2021,4,34000,12
ups,2022,4,36000,10
monitors,2019,6,22000,40
monitors,2020,6,24000,35
monitors,2021,6,25000,30
monitors,2022,6,26000,20
monitors,2023,6,28000,15
cameras,2018,5,45000,10
cameras,2019,5,48000,8
cameras,2020,5,50000,12
cameras,2021,5,52000,6
cameras,2022,5,55000,5
tablets,2020,4,35000,20
tablets,2021,4,38000,15
tablets,2022,4,40000,12
tablets,2023,4,42000,8
workstations,2018,6,120000,12
workstations,2019,6,125000,10
workstations,2020,6,130000,8
workstations,2021,6,135000,6
workstations,2022,6,140000,5
ac_units,2015,10,85000,12
ac_units,2016,10,88000,10
ac_units,2017,10,92000,8
ac_units,2018,10,95000,6
ac_units,2019,10,98000,5
furniture,2016,8,15000,50
furniture,2017,8,16000,40
furniture,2018,8,17000,35
furniture,2019,8,18000,30
furniture,2020,8,19000,25
whiteboards,2018,7,12000,20
whiteboards,2019,7,13000,15
whiteboards,2020,7,14000,12
whiteboards,2021,7,15000,10
oscilloscopes,2017,8,65000,8
oscilloscopes,2018,8,68000,6
oscilloscopes,2019,8,70000,5
oscilloscopes,2020,8,72000,4
microscopes,2015,10,120000,6
microscopes,2016,10,125000,4
microscopes,2017,10,130000,5
microscopes,2018,10,135000,3
